sample-id	alias	compartment	env_biome	plant_id	cultivar	collection_date	geo_loc_name
SRR1524778	GHRun1	Rhizosphere	Greenhouse Soil		M104	2013-05-06	USA: Davis, California
SRR1524779	GHRun1	Endosphere	Greenhouse Soil		M104	2013-05-06	USA: Davis, California
SRR1524780	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Davis, California
SRR1524781	GHRun1	Rhizosphere	Greenhouse Soil		IR50	2013-05-06	USA: Davis, California
SRR1524782	GHRun1	Endosphere	Greenhouse Soil		IR50	2013-05-06	USA: Davis, California
SRR1524783	GHRun1	Rhizosphere	Greenhouse Soil		93-11	2013-05-06	USA: Davis, California
SRR1524784	GHRun1	Endosphere	Greenhouse Soil		93-11	2013-05-06	USA: Davis, California
SRR1524785	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Davis, California
SRR1524786	GHRun1	Rhizosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Davis, California
SRR1524787	GHRun1	Endosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Davis, California
SRR1524788	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Davis, California
SRR1524789	GHRun1	Rhizosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Davis, California
SRR1524790	GHRun1	Endosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Davis, California
SRR1524791	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524792	GHRun1	Rhizosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Sacramento, California
SRR1524793	GHRun1	Endosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Sacramento, California
SRR1524794	GHRun1	Rhizosphere	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524795	GHRun1	Rhizoplane	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524796	GHRun1	Endosphere	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524797	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524798	GHRun1	Rhizosphere	Greenhouse Soil		IR50	2013-05-06	USA: Sacramento, California
SRR1524799	GHRun1	Rhizoplane	Greenhouse Soil		IR50	2013-05-06	USA: Sacramento, California
SRR1524800	GHRun1	Endosphere	Greenhouse Soil		IR50	2013-05-06	USA: Sacramento, California
SRR1524801	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524802	GHRun1	Rhizosphere	Greenhouse Soil		93-11	2013-05-06	USA: Sacramento, California
SRR1524803	GHRun1	Rhizoplane	Greenhouse Soil		93-11	2013-05-06	USA: Sacramento, California
SRR1524804	GHRun1	Endosphere	Greenhouse Soil		93-11	2013-05-06	USA: Sacramento, California
SRR1524805	GHRun1	Rhizosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Sacramento, California
SRR1524806	GHRun1	Rhizoplane	Greenhouse Soil		Glab_E	2013-05-06	USA: Sacramento, California
SRR1524807	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524808	GHRun1	Rhizosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524809	GHRun1	Rhizoplane	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524810	GHRun1	Endosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524811	GHRun1	Rhizosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Sacramento, California
SRR1524812	GHRun1	Endosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Sacramento, California
SRR1524813	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524814	GHRun1	Rhizosphere	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524815	GHRun1	Rhizoplane	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524816	GHRun1	Endosphere	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524817	GHRun1	Rhizoplane	Greenhouse Soil		IR50	2013-05-06	USA: Sacramento, California
SRR1524818	GHRun1	Endosphere	Greenhouse Soil		IR50	2013-05-06	USA: Sacramento, California
SRR1524819	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524820	GHRun1	Rhizosphere	Greenhouse Soil		93-11	2013-05-06	USA: Sacramento, California
SRR1524821	GHRun1	Endosphere	Greenhouse Soil		93-11	2013-05-06	USA: Sacramento, California
SRR1524822	GHRun1	Rhizosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Sacramento, California
SRR1524823	GHRun1	Rhizoplane	Greenhouse Soil		Glab_E	2013-05-06	USA: Sacramento, California
SRR1524824	GHRun1	Endosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Sacramento, California
SRR1524825	GHRun1	Rhizosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524826	GHRun1	Rhizoplane	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524827	GHRun1	Endosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
